B1,B2,B3,B4,B5,B6,B7,classvalue,sample
0.05875,0.0693,0.07415,0.0391,0.03875,0.0324,0.0328,1,train
0.05825,0.06825,0.0733,0.04025,0.0387,0.03175,0.033,1,train
0.05825,0.06545,0.07165,0.0392,0.03795,0.03015,0.0309,1,train
0.0586,0.0662,0.0743,0.0384,0.0383,0.0314,0.0322,1,train
0.0586,0.0666,0.0725,0.0399,0.0373,0.0318,0.0318,1,train
0.0584,0.0652,0.0715,0.0399,0.0403,0.0305,0.0315,1,train
0.0584,0.0675,0.0706,0.0407,0.0397,0.0307,0.0311,1,train
0.059,0.0649,0.0722,0.0386,0.039,0.0326,0.031,1,train
0.059,0.0671,0.0714,0.0396,0.0395,0.033,0.0316,1,train
0.059,0.0663,0.0719,0.0407,0.0396,0.0325,0.0316,1,train
0.06,0.0666,0.0702,0.0402,0.0401,0.0319,0.0319,1,train
0.06,0.0668,0.0724,0.0401,0.0396,0.0319,0.0329,1,train
0.0596,0.0681,0.07,0.0394,0.0396,0.0331,0.0336,1,train
0.0596,0.0676,0.0708,0.041,0.04,0.0319,0.0319,1,train
0.0595,0.0662,0.071,0.0402,0.042,0.0322,0.032,1,train
0.0595,0.0652,0.0688,0.0406,0.0393,0.0327,0.0335,1,train
0.0599,0.0662,0.07,0.0402,0.04,0.0338,0.0332,1,train
0.0599,0.0663,0.0706,0.0405,0.0406,0.0324,0.0337,1,train
0.0595,0.0674,0.0717,0.0398,0.0402,0.0325,0.0337,1,train
0.0595,0.0663,0.0696,0.0401,0.0394,0.0352,0.0342,1,train
0.0594,0.0688,0.0693,0.0402,0.0403,0.0331,0.0331,1,train
0.0594,0.0641,0.0684,0.041,0.0394,0.0336,0.0336,1,train
0.0598,0.0661,0.069,0.0395,0.0388,0.0315,0.0326,1,train
0.0598,0.0666,0.0699,0.0388,0.0381,0.034,0.0326,1,train
0.0598,0.0679,0.0707,0.0417,0.0404,0.0329,0.0341,1,train
0.0598,0.0688,0.0694,0.0398,0.0385,0.0334,0.0331,1,train
0.0599,0.0695,0.0705,0.0406,0.0398,0.0332,0.0328,1,train
0.0599,0.0674,0.0693,0.0406,0.0402,0.0316,0.0331,1,train
0.05985,0.07265,0.0779,0.04395,0.0381,0.0341,0.0335,1,train
0.05985,0.07235,0.07625,0.04325,0.04015,0.0342,0.03295,1,train
0.05875,0.0695,0.0734,0.0399,0.0373,0.03355,0.0324,1,train
0.05875,0.0671,0.0728,0.04015,0.03935,0.0322,0.03385,1,train
0.05825,0.06685,0.0725,0.0405,0.03915,0.03285,0.0324,1,train
0.05825,0.0664,0.0731,0.0393,0.0376,0.03105,0.03185,1,train
0.0586,0.0662,0.0737,0.0391,0.0385,0.0345,0.0326,1,train
0.0586,0.0683,0.0718,0.0419,0.0369,0.0298,0.0307,1,train
0.0584,0.065,0.071,0.0398,0.039,0.0302,0.0316,1,train
0.0584,0.0655,0.0699,0.0395,0.0377,0.0304,0.0319,1,train
0.059,0.0659,0.0702,0.0399,0.0387,0.0317,0.0341,1,train
0.059,0.0649,0.0692,0.0385,0.038,0.0302,0.0311,1,train
0.059,0.0648,0.0711,0.039,0.0379,0.0304,0.0307,1,train
0.06,0.0669,0.0733,0.0402,0.0408,0.0326,0.0322,1,train
0.06,0.0667,0.0716,0.0403,0.0401,0.0335,0.0321,1,train
0.0596,0.0649,0.071,0.0396,0.0392,0.0317,0.0331,1,train
0.0596,0.0676,0.0706,0.0398,0.0389,0.0318,0.0323,1,train
0.0595,0.0668,0.0704,0.0415,0.041,0.0336,0.0331,1,train
0.0595,0.0662,0.071,0.0393,0.0397,0.0334,0.0332,1,train
0.0599,0.0677,0.0717,0.0394,0.0392,0.032,0.0331,1,train
0.0599,0.0656,0.0688,0.0398,0.0404,0.0335,0.0341,1,train
0.0595,0.0681,0.0715,0.0405,0.0406,0.0343,0.0334,1,train
0.0595,0.0666,0.07,0.0403,0.04,0.033,0.033,1,train
0.0594,0.0671,0.0707,0.0403,0.0387,0.0334,0.0337,1,train
0.0594,0.0657,0.0704,0.0405,0.0397,0.0342,0.0344,1,train
0.0598,0.0651,0.0691,0.04,0.0384,0.0328,0.0326,1,train
0.0598,0.0689,0.0725,0.0393,0.039,0.0326,0.0332,1,train
0.0598,0.0695,0.0688,0.0411,0.0403,0.0329,0.0326,1,train
0.0598,0.0683,0.0705,0.0404,0.0395,0.0327,0.0333,1,train
0.0599,0.0687,0.0712,0.0392,0.0392,0.0323,0.0321,1,train
0.0599,0.0674,0.0682,0.0394,0.0402,0.0318,0.0326,1,train
0.0604,0.0728,0.07745,0.0425,0.03815,0.0321,0.0324,1,train
0.0604,0.0723,0.07725,0.04345,0.0396,0.0341,0.03255,1,train
0.059,0.06975,0.07355,0.04015,0.03805,0.0333,0.0323,1,train
0.059,0.0672,0.07255,0.0402,0.039,0.0319,0.03185,1,train
0.05815,0.06665,0.07235,0.0393,0.0399,0.0308,0.0326,1,train
0.05815,0.0665,0.07205,0.0392,0.0371,0.0308,0.0317,1,train
0.0584,0.067,0.0736,0.0397,0.0396,0.0343,0.0339,1,train
0.0584,0.068,0.0699,0.0386,0.0362,0.0296,0.0318,1,train
0.0581,0.0654,0.0705,0.04,0.0394,0.0306,0.0329,1,train
0.0581,0.0651,0.0697,0.04,0.0371,0.0312,0.0319,1,train
0.0579,0.0665,0.0704,0.0404,0.0399,0.0329,0.0327,1,train
0.0579,0.0634,0.0682,0.0375,0.0371,0.03,0.031,1,train
0.0579,0.0643,0.0701,0.04,0.0389,0.0298,0.0296,1,train
0.0581,0.0667,0.0705,0.0406,0.0394,0.033,0.0325,1,train
0.0581,0.0669,0.0706,0.0407,0.0375,0.033,0.0315,1,train
0.0582,0.066,0.0717,0.0403,0.0394,0.0323,0.0324,1,train
0.0582,0.0656,0.0708,0.039,0.0388,0.0326,0.0329,1,train
0.0585,0.0666,0.0686,0.0406,0.0409,0.0327,0.033,1,train
0.0585,0.0654,0.0688,0.0396,0.0395,0.0329,0.0331,1,train
0.0587,0.0655,0.0713,0.0399,0.0389,0.0325,0.0327,1,train
0.0587,0.0655,0.0692,0.0396,0.0402,0.0324,0.0334,1,train
0.0586,0.0668,0.0708,0.0393,0.0406,0.034,0.0346,1,train
0.0586,0.0679,0.0707,0.0409,0.0397,0.0326,0.0335,1,train
0.0584,0.0672,0.0703,0.0412,0.0394,0.0337,0.0346,1,train
